,STATION ID,TIME,AVAILABLE BIKES
2855,21,2020-01-01 06:25:02,1
2856,21,2020-01-01 06:30:02,1
2857,21,2020-01-01 06:35:02,1
2858,21,2020-01-01 06:40:03,1
2859,21,2020-01-01 06:45:02,1
2860,21,2020-01-01 06:50:02,1
2861,21,2020-01-01 06:55:02,1
2862,21,2020-01-01 07:00:02,2
2863,21,2020-01-01 07:05:02,2
2864,21,2020-01-01 07:10:02,2
2865,21,2020-01-01 07:15:02,2
2866,21,2020-01-01 07:20:02,2
2867,21,2020-01-01 07:25:02,2
2868,21,2020-01-01 07:30:02,2
2869,21,2020-01-01 07:35:02,2
2870,21,2020-01-01 07:40:02,2
2871,21,2020-01-01 07:45:02,2
2872,21,2020-01-01 07:50:02,2
2873,21,2020-01-01 07:55:02,2
2874,21,2020-01-01 08:00:02,2
2875,21,2020-01-01 08:05:02,4
2876,21,2020-01-01 08:10:02,4
2877,21,2020-01-01 08:15:02,4
2878,21,2020-01-01 08:20:02,4
2879,21,2020-01-01 08:25:02,4
2880,21,2020-01-01 08:30:02,4
2881,21,2020-01-01 08:35:02,4
2882,21,2020-01-01 08:40:02,4
2883,21,2020-01-01 08:45:02,4
2884,21,2020-01-01 08:50:02,4
2885,21,2020-01-01 08:55:02,4
2886,21,2020-01-01 09:00:02,4
2887,21,2020-01-01 09:05:02,4
2888,21,2020-01-01 09:10:01,4
2889,21,2020-01-01 09:15:02,4
2890,21,2020-01-01 09:20:02,4
2891,21,2020-01-01 09:25:02,4
2892,21,2020-01-01 09:30:02,4
2893,21,2020-01-01 09:35:02,5
2894,21,2020-01-01 09:40:02,5
2895,21,2020-01-01 09:45:02,5
2896,21,2020-01-01 09:50:02,5
2897,21,2020-01-01 09:55:02,5
2898,21,2020-01-01 10:00:02,5
2899,21,2020-01-01 10:05:02,6
2900,21,2020-01-01 10:10:02,7
2901,21,2020-01-01 10:15:02,7
2902,21,2020-01-01 10:20:02,7
2903,21,2020-01-01 10:25:02,7
2904,21,2020-01-01 10:30:02,7
2905,21,2020-01-01 10:35:02,7
2906,21,2020-01-01 10:40:27,7
2907,21,2020-01-01 10:45:02,8
2908,21,2020-01-01 10:50:02,10
2909,21,2020-01-01 10:55:02,10
2910,21,2020-01-01 11:00:02,10
2911,21,2020-01-01 11:05:02,10
2912,21,2020-01-01 11:10:02,11
2913,21,2020-01-01 11:15:03,11
2914,21,2020-01-01 11:20:02,11
2915,21,2020-01-01 11:25:02,12
2916,21,2020-01-01 11:30:02,12
2917,21,2020-01-01 11:35:02,12
2918,21,2020-01-01 11:40:02,12
2919,21,2020-01-01 11:45:02,12
2920,21,2020-01-01 11:50:02,13
2921,21,2020-01-01 11:55:02,13
2922,21,2020-01-01 12:00:02,13
2923,21,2020-01-01 12:05:02,13
2924,21,2020-01-01 12:10:02,13
2925,21,2020-01-01 12:15:02,13
2926,21,2020-01-01 12:20:02,14
2927,21,2020-01-01 12:25:02,14
2928,21,2020-01-01 12:30:03,15
2929,21,2020-01-01 12:35:02,15
2930,21,2020-01-01 12:40:02,15
2931,21,2020-01-01 12:45:02,17
2932,21,2020-01-01 12:50:02,17
2933,21,2020-01-01 12:55:02,17
2934,21,2020-01-01 13:00:02,17
2935,21,2020-01-01 13:05:02,17
2936,21,2020-01-01 13:10:02,17
2937,21,2020-01-01 13:15:02,17
2938,21,2020-01-01 13:20:03,19
2939,21,2020-01-01 13:25:02,20
2940,21,2020-01-01 13:30:02,19
2941,21,2020-01-01 13:35:02,17
2942,21,2020-01-01 13:40:02,17
2943,21,2020-01-01 13:45:02,17
2944,21,2020-01-01 13:50:02,17
2945,21,2020-01-01 13:55:02,17
2946,21,2020-01-01 14:00:02,17
2947,21,2020-01-01 14:05:02,17
2948,21,2020-01-01 14:10:01,17
2949,21,2020-01-01 14:15:02,18
2950,21,2020-01-01 14:20:02,18
2951,21,2020-01-01 14:25:02,18
2952,21,2020-01-01 14:30:02,18
2953,21,2020-01-01 14:35:02,18
2954,21,2020-01-01 14:40:02,20
2955,21,2020-01-01 14:45:02,20
2956,21,2020-01-01 14:50:02,20
2957,21,2020-01-01 14:55:02,20
2958,21,2020-01-01 15:00:27,22
2959,21,2020-01-01 15:05:02,21
2960,21,2020-01-01 15:10:02,21
2961,21,2020-01-01 15:15:02,21
2962,21,2020-01-01 15:20:02,21
2963,21,2020-01-01 15:25:02,20
2964,21,2020-01-01 15:30:02,20
2965,21,2020-01-01 15:35:02,20
2966,21,2020-01-01 15:40:02,20
2967,21,2020-01-01 15:45:02,19
2968,21,2020-01-01 15:50:02,19
2969,21,2020-01-01 15:55:02,18
2970,21,2020-01-01 16:00:02,18
2971,21,2020-01-01 16:05:27,16
2972,21,2020-01-01 16:10:02,16
2973,21,2020-01-01 16:15:02,16
2974,21,2020-01-01 16:20:02,17
2975,21,2020-01-01 16:25:02,17
2976,21,2020-01-01 16:30:03,17
2977,21,2020-01-01 16:35:02,21
2978,21,2020-01-01 16:40:02,21
2979,21,2020-01-01 16:45:02,20
2980,21,2020-01-01 16:50:02,20
2981,21,2020-01-01 16:55:02,21
2982,21,2020-01-01 17:00:02,21
2983,21,2020-01-01 17:05:02,21
2984,21,2020-01-01 17:10:02,20
2985,21,2020-01-01 17:15:02,20
2986,21,2020-01-01 17:20:02,19
2987,21,2020-01-01 17:25:02,19
2988,21,2020-01-01 17:30:02,18
2989,21,2020-01-01 17:35:02,18
2990,21,2020-01-01 17:40:02,18
2991,21,2020-01-01 17:45:01,17
2992,21,2020-01-01 17:50:02,17
2993,21,2020-01-01 17:55:02,17
2994,21,2020-01-01 18:00:02,17
2995,21,2020-01-01 18:05:02,16
2996,21,2020-01-01 18:10:02,16
2997,21,2020-01-01 18:15:02,19
2998,21,2020-01-01 18:20:02,19
2999,21,2020-01-01 18:25:02,20
3000,21,2020-01-01 18:30:02,20
3001,21,2020-01-01 18:35:02,20
3002,21,2020-01-01 18:40:02,20
3003,21,2020-01-01 18:45:02,20
3004,21,2020-01-01 18:50:02,19
3005,21,2020-01-01 18:55:02,19
3006,21,2020-01-01 19:00:02,19
3007,21,2020-01-01 19:05:02,19
3008,21,2020-01-01 19:10:02,20
3009,21,2020-01-01 19:15:02,20
3010,21,2020-01-01 19:20:02,24
3011,21,2020-01-01 19:25:02,24
3012,21,2020-01-01 19:30:02,24
3013,21,2020-01-01 19:35:02,26
3014,21,2020-01-01 19:40:03,26
3015,21,2020-01-01 19:45:02,26
3016,21,2020-01-01 19:50:02,26
3017,21,2020-01-01 19:55:02,26
3018,21,2020-01-01 20:00:02,26
3019,21,2020-01-01 20:05:03,26
3020,21,2020-01-01 20:10:02,26
3021,21,2020-01-01 20:15:02,26
23004,21,2020-01-03 00:05:02,9
23005,21,2020-01-03 00:10:02,9
23006,21,2020-01-03 00:15:02,9
23007,21,2020-01-03 00:20:02,9
23008,21,2020-01-03 00:25:02,9
23009,21,2020-01-03 00:30:02,9
23010,21,2020-01-03 00:35:02,9
23011,21,2020-01-03 00:40:02,9
23012,21,2020-01-03 00:45:02,9
23013,21,2020-01-03 00:50:01,9
23014,21,2020-01-03 00:55:02,9
23015,21,2020-01-03 01:00:02,9
23016,21,2020-01-03 01:05:02,9
23017,21,2020-01-03 01:10:02,9
23018,21,2020-01-03 01:15:02,9
23019,21,2020-01-03 01:20:02,9
23020,21,2020-01-03 01:25:02,9
23021,21,2020-01-03 01:30:02,9
23022,21,2020-01-03 01:35:02,9
23023,21,2020-01-03 01:40:02,9
23024,21,2020-01-03 01:45:02,9
23025,21,2020-01-03 01:50:02,9
23026,21,2020-01-03 01:55:02,9
23027,21,2020-01-03 02:00:02,9
23028,21,2020-01-03 02:05:02,9
23029,21,2020-01-03 02:10:02,9
23030,21,2020-01-03 02:15:02,9
23031,21,2020-01-03 02:20:02,9
23032,21,2020-01-03 02:25:02,9
23033,21,2020-01-03 02:30:02,9
23034,21,2020-01-03 02:35:02,9
23035,21,2020-01-03 02:40:02,9
23036,21,2020-01-03 02:45:02,9
23037,21,2020-01-03 02:50:02,9
23038,21,2020-01-03 02:55:02,9
23039,21,2020-01-03 03:00:02,9
23040,21,2020-01-03 03:05:02,9
23041,21,2020-01-03 03:10:02,9
23042,21,2020-01-03 03:15:02,9
23043,21,2020-01-03 03:20:03,9
23044,21,2020-01-03 03:25:02,9
23045,21,2020-01-03 03:30:02,9
23046,21,2020-01-03 03:35:02,9
23047,21,2020-01-03 03:40:02,9
23048,21,2020-01-03 03:45:02,9
23049,21,2020-01-03 03:50:02,9
23050,21,2020-01-03 03:55:02,9
23051,21,2020-01-03 04:00:02,9
23052,21,2020-01-03 04:05:02,9
23053,21,2020-01-03 04:10:02,9
23054,21,2020-01-03 04:15:02,9
23055,21,2020-01-03 04:20:02,9
23056,21,2020-01-03 04:25:02,9
23057,21,2020-01-03 04:30:02,9
23058,21,2020-01-03 04:35:02,9
23059,21,2020-01-03 04:40:02,9
23060,21,2020-01-03 04:45:02,9
23061,21,2020-01-03 04:50:02,9
23062,21,2020-01-03 04:55:02,9
23063,21,2020-01-03 05:00:02,9
23064,21,2020-01-03 05:05:02,9
23065,21,2020-01-03 05:10:02,9
23066,21,2020-01-03 05:15:02,9
23067,21,2020-01-03 05:20:02,9
23068,21,2020-01-03 05:25:02,9
23069,21,2020-01-03 05:30:02,10
23070,21,2020-01-03 05:35:02,10
23071,21,2020-01-03 05:40:02,10
23072,21,2020-01-03 05:45:02,10
23073,21,2020-01-03 05:50:02,10
23074,21,2020-01-03 05:55:02,10
23075,21,2020-01-03 06:00:02,9
23076,21,2020-01-03 06:05:02,3
23077,21,2020-01-03 06:10:02,3
23078,21,2020-01-03 06:15:02,3
23079,21,2020-01-03 06:20:02,3
23080,21,2020-01-03 06:25:02,3
23081,21,2020-01-03 06:30:02,2
23082,21,2020-01-03 06:35:02,2
23083,21,2020-01-03 06:40:02,2
23084,21,2020-01-03 06:45:02,1
23085,21,2020-01-03 06:50:02,1
23086,21,2020-01-03 06:55:02,2
23087,21,2020-01-03 07:00:02,2
23088,21,2020-01-03 07:05:02,2
23089,21,2020-01-03 07:10:02,2
23090,21,2020-01-03 07:15:02,2
23091,21,2020-01-03 07:20:02,2
23092,21,2020-01-03 07:25:02,2
23093,21,2020-01-03 07:30:02,2
23094,21,2020-01-03 07:35:02,3
23095,21,2020-01-03 07:40:02,3
23096,21,2020-01-03 07:45:02,3
23097,21,2020-01-03 07:50:02,3
23098,21,2020-01-03 07:55:02,3
23099,21,2020-01-03 08:00:02,3
23100,21,2020-01-03 08:05:02,2
23101,21,2020-01-03 08:10:02,0
23102,21,2020-01-03 08:15:02,0
23103,21,2020-01-03 08:20:02,0
23104,21,2020-01-03 08:25:02,0
23105,21,2020-01-03 08:30:02,0
23106,21,2020-01-03 08:35:02,0
23107,21,2020-01-03 08:40:02,2
23108,21,2020-01-03 08:45:02,3
23109,21,2020-01-03 08:50:02,3
23110,21,2020-01-03 08:55:02,4
23111,21,2020-01-03 09:00:02,5
23112,21,2020-01-03 09:05:02,6
23113,21,2020-01-03 09:10:02,11
23114,21,2020-01-03 09:15:02,16
23115,21,2020-01-03 09:20:02,17
23116,21,2020-01-03 09:25:02,17
23117,21,2020-01-03 09:30:02,17
23118,21,2020-01-03 09:35:02,14
23119,21,2020-01-03 09:40:02,11
23120,21,2020-01-03 09:45:02,8
23121,21,2020-01-03 09:50:02,8
23122,21,2020-01-03 09:55:02,8
23123,21,2020-01-03 10:00:02,8
23124,21,2020-01-03 10:05:02,8
23125,21,2020-01-03 10:10:02,9
23126,21,2020-01-03 10:15:02,10
23127,21,2020-01-03 10:20:02,10
23128,21,2020-01-03 10:25:02,10
23129,21,2020-01-03 10:30:02,10
23130,21,2020-01-03 10:35:02,11
23131,21,2020-01-03 10:40:02,11
23132,21,2020-01-03 10:45:02,13
23133,21,2020-01-03 10:50:02,14
23134,21,2020-01-03 10:55:02,14
23135,21,2020-01-03 11:00:02,14
23136,21,2020-01-03 11:05:02,14
23137,21,2020-01-03 11:10:02,13
23138,21,2020-01-03 11:15:02,13
23139,21,2020-01-03 11:20:03,13
23140,21,2020-01-03 11:25:02,13
23141,21,2020-01-03 11:30:02,13
23142,21,2020-01-03 11:35:02,12
23143,21,2020-01-03 11:40:02,13
23144,21,2020-01-03 11:45:02,13
23145,21,2020-01-03 11:50:02,14
23146,21,2020-01-03 11:55:02,15
23147,21,2020-01-03 12:00:02,15
23148,21,2020-01-03 12:05:02,15
23149,21,2020-01-03 12:10:02,15
23150,21,2020-01-03 12:15:02,15
23151,21,2020-01-03 12:20:03,12
23152,21,2020-01-03 12:25:02,12
23153,21,2020-01-03 12:30:02,14
23154,21,2020-01-03 12:35:02,15
23155,21,2020-01-03 12:40:02,16
23156,21,2020-01-03 12:45:02,17
23157,21,2020-01-03 12:50:02,20
23158,21,2020-01-03 12:55:02,19
23159,21,2020-01-03 13:00:02,16
23160,21,2020-01-03 13:05:02,16
23161,21,2020-01-03 13:10:02,16
23162,21,2020-01-03 13:15:02,16
23163,21,2020-01-03 13:20:02,16
23164,21,2020-01-03 13:25:02,16
23165,21,2020-01-03 13:30:02,17
23166,21,2020-01-03 13:35:02,19
23167,21,2020-01-03 13:40:02,19
23168,21,2020-01-03 13:45:02,20
23169,21,2020-01-03 13:50:02,21
23170,21,2020-01-03 13:55:02,24
23171,21,2020-01-03 14:00:02,25
23172,21,2020-01-03 14:05:02,25
23173,21,2020-01-03 14:10:03,27
23174,21,2020-01-03 14:15:02,28
23175,21,2020-01-03 14:20:02,27
23176,21,2020-01-03 14:25:02,27
23177,21,2020-01-03 14:30:02,29
23178,21,2020-01-03 14:35:02,28
23179,21,2020-01-03 14:40:02,28
23180,21,2020-01-03 14:45:02,27
23181,21,2020-01-03 14:50:02,27
23182,21,2020-01-03 14:55:02,25
23183,21,2020-01-03 15:00:03,25
23184,21,2020-01-03 15:05:02,26
23185,21,2020-01-03 15:10:02,27
23186,21,2020-01-03 15:15:02,27
23187,21,2020-01-03 15:20:02,25
23188,21,2020-01-03 15:25:02,25
23189,21,2020-01-03 15:30:02,25
23190,21,2020-01-03 15:35:02,25
23191,21,2020-01-03 15:40:02,27
23192,21,2020-01-03 15:45:02,28
23193,21,2020-01-03 15:50:02,28
23194,21,2020-01-03 15:55:02,28
23195,21,2020-01-03 16:00:02,29
23196,21,2020-01-03 16:05:02,28
23197,21,2020-01-03 16:10:02,29
23198,21,2020-01-03 16:15:02,30
23199,21,2020-01-03 16:20:02,30
23200,21,2020-01-03 16:25:02,30
23201,21,2020-01-03 16:30:02,30
23202,21,2020-01-03 16:35:02,30
